date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-derive_v2_protocol,forecasted_TVL_opchain-derive_v2_protocol
2024-09-01 00:00:00,0.29867226581700684,0.46002359762814,0.03884135377660586,0.0,0.0,0.0,53780404.613955416,53236485.399878584
2024-09-02 00:00:00,0.3665721575654978,0.34417423952439735,0.0412074124504102,0.0,0.0,0.0,52199285.44243905,53924366.75811989
2024-09-03 00:00:00,0.24426457809797716,0.1079658861183486,0.03248779146758725,0.0,0.0,0.0,50700130.56538233,53723975.42535376
2024-09-04 00:00:00,0.2427291447151147,0.29778125521153465,0.0,9.326871734431593e-07,0.0,0.0,48365640.588450104,63037719.5963591
2024-09-05 00:00:00,0.3166485611805776,0.35952661048387646,0.0,9.252665753245061e-07,0.0,0.0,54362492.40673028,57176512.64332753
2024-09-06 00:00:00,0.23136738238751045,0.40560262832946153,0.0,4.0930067323886975e-07,0.0,0.0,46924819.10956817,54567287.2398303
2024-09-07 00:00:00,0.39691263207422617,0.1394340917088788,0.04251612836959991,6.63511765423307e-06,0.0,0.0,50675898.40341353,63050012.50473657
2024-09-08 00:00:00,0.30335923892098793,0.15726116558761385,0.036311362603048083,8.441633304686598e-06,0.0,0.0,44050648.07476356,57495804.635214165
2024-09-09 00:00:00,0.3629142628461787,0.2599586006291681,0.05261590155618887,6.812452793569956e-06,0.0,0.0,46307701.80613413,54471285.014554806
2024-09-10 00:00:00,0.4126284023632826,0.23277397849249468,0.9315800212015779,0.0,0.0,0.0,44396680.253680326,56434036.26333526
2024-09-11 00:00:00,0.2434568822626717,0.2671413105223567,0.5939500233045792,0.0,0.0,0.0,46193400.07176578,57020966.2474034
2024-09-12 00:00:00,0.36956916255879313,0.379991521887624,0.523135680847724,0.0,0.0,0.0,41293646.32525613,57681208.05512563
2024-09-13 00:00:00,0.17898674028762146,0.26652479693035713,0.737358658780495,0.0,0.0,0.0,40628080.77092741,59357440.338911526
2024-09-14 00:00:00,0.22153221384190971,0.27502525827517993,0.6372324622575468,0.0,0.0,0.0,37389830.423372984,55174933.13317615
2024-09-15 00:00:00,0.15759002370342404,0.24603829998866977,0.5791923366785904,0.0,0.0,0.0,40753652.52810264,56096328.7857089
2024-09-16 00:00:00,0.35765260275697147,0.33965830387877993,0.22958609812709155,9.242977004593044e-06,0.0,0.0,36322639.95604176,60194917.761858575
2024-09-17 00:00:00,0.08866713057163884,0.2229401696690252,0.22331011890273775,1.0836096596213078e-05,0.0,0.0,37886331.497497484,53159323.312868536
2024-09-18 00:00:00,0.30889908115207787,0.3071846618321205,0.23363876933648442,1.3561886995138623e-05,0.0,0.0,39986134.83280794,56299406.14397399
2024-09-19 00:00:00,0.23917189599232194,0.23556663500509692,0.048427748039386084,1.3755562602645843e-05,0.0,0.0,37737109.34990883,56565751.14111384
2024-09-20 00:00:00,0.303704811631197,0.11578318694189248,0.06363159562228972,2.0615056877866534e-05,0.0,0.0,37790132.028310224,55276099.93150606
2024-09-21 00:00:00,0.31821501060769125,0.2125554732383369,0.08348956893771575,1.2890395402443902e-05,0.0,0.0,39610881.362694815,51949307.90527426
2024-09-22 00:00:00,0.33868775161504017,0.20891044522364857,0.021292084293634477,5.314813467975755e-06,0.0,0.0,36526274.04807793,54078317.86422192
2024-09-23 00:00:00,0.37820159217028887,0.15388364193969664,0.023240830007925015,6.760403211887532e-06,0.0,0.0,40471636.227914564,57901336.999934375
2024-09-24 00:00:00,0.5339835842277317,0.42118089636095846,0.03787277785453759,6.23881417486103e-06,0.0,0.0,39354213.33718475,51582126.3692619
