date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-kelp_rseth_protocol,forecasted_TVL_opchain-kelp_rseth_protocol
2024-09-01 00:00:00,0.0072744889570083805,0.15085914147498405,0.0,0.0,0.0,0.0,677107809.878424,652186292.5131851
2024-09-02 00:00:00,-0.010313294826887922,0.18724465353137618,0.0,0.0,0.0,0.0,636448487.5474602,625939183.9137459
2024-09-03 00:00:00,0.005463436457012458,0.19111276977002734,0.0,0.0,0.0,0.0,647853641.9907925,633956880.0843033
2024-09-04 00:00:00,0.09795230091978432,-0.028112944618244217,0.0,0.0,0.0,0.0,651750198.0016459,611526992.1293229
2024-09-05 00:00:00,0.09831809294328922,0.17505362871241104,0.0,0.0,0.0,0.0,658248629.7239519,593450369.6248734
2024-09-06 00:00:00,0.2107186223619225,0.021136938271585595,0.0,0.0,0.0,0.0,623402912.7050525,607740026.8394324
2024-09-07 00:00:00,0.14802781430677867,0.08956869251656438,0.0,0.0,0.0,0.0,555170298.213169,579645660.2002764
2024-09-08 00:00:00,0.11725458536398588,0.07688844335008717,0.0,0.0,0.0,0.0,613121081.7330707,592535620.1624941
2024-09-09 00:00:00,0.14878828128822905,0.0633545302110761,0.0,0.0,0.0,0.0,501135605.17110854,648329759.7842001
2024-09-10 00:00:00,0.1684169492832555,0.22572454901561786,1.2575247322341797e-09,0.0,0.0,0.0,515963492.1451742,708652138.282618
2024-09-11 00:00:00,0.07100957571171874,0.2666022704777056,1.1613176474752921e-09,0.0,0.0,0.0,449493475.37734574,626526764.6761289
2024-09-12 00:00:00,0.08591421800742315,0.2336923308889102,6.904481026803347e-10,0.0,0.0,0.0,501816606.89666915,641074771.1821784
2024-09-13 00:00:00,0.1803511092137365,0.1880795596560539,0.0,0.0,0.0,0.0,446706140.74361587,610342688.6136042
2024-09-14 00:00:00,0.20577412060871278,0.054400936666491484,0.0,0.0,0.0,0.0,510831361.85500354,666270409.9819959
2024-09-15 00:00:00,0.19894301760571523,0.15751197773743947,0.0,0.0,0.0,0.0,450129452.1677801,722210941.1249766
2024-09-16 00:00:00,0.20182285834791214,0.11018358636080336,0.0,2.8780104983410857e-06,0.0,0.0,498872567.2849431,702061931.1382862
2024-09-17 00:00:00,0.12105885328413231,0.11154700955213681,0.0,5.557634586047776e-06,0.0,0.0,464011997.83961016,639779401.9785972
2024-09-18 00:00:00,0.20028459613246724,0.1056526289773912,0.0,-1.1841688406384889e-06,0.0,0.0,469451808.34749883,655938383.2471765
2024-09-19 00:00:00,0.2070408798352192,0.10213078415700244,0.0,-1.9072816590176968e-06,0.0,0.0,449368644.5986924,654959341.7172211
2024-09-20 00:00:00,0.11784407199072892,0.1879825144659133,0.0,-1.0477599242644715e-06,0.0,0.0,473136635.9475642,627343614.3243734
2024-09-21 00:00:00,0.16641722576712342,0.13443122448829214,0.0,-1.2805575304741616e-06,0.0,0.0,455036572.38596845,696173314.1518351
2024-09-22 00:00:00,0.1657994771809833,0.0950252824376801,0.0,1.0091129296064758e-07,0.0,0.0,480935573.53087527,668796105.0359601
2024-09-23 00:00:00,0.3329034866609045,0.10579356193436891,0.0,1.549550098665525e-08,0.0,0.0,431245245.7484731,698791384.2558614
2024-09-24 00:00:00,0.21803535894172546,0.10470542966389186,0.0,0.0,0.0,0.0,449401207.8377286,859191419.1716304
2024-09-25 00:00:00,0.05038383815970578,0.11052039226785255,0.0,0.0,0.0,0.0,444998320.0830298,732387413.6272905
2024-09-26 00:00:00,0.04845508891153141,0.12622969548835167,0.0,0.0,0.0,0.0,427316564.5073209,790924419.4428767
2024-09-27 00:00:00,0.042187249802304136,0.11426277407925538,0.0,0.0,0.0,0.0,408382083.80612886,793496497.6204324
2024-09-28 00:00:00,0.15858004916602858,0.21158268453999554,0.0,0.0,0.0,0.0,423044499.54976255,778126152.3549263
2024-09-29 00:00:00,0.071689616650091,0.13820331439750871,0.0,0.0,0.0,0.0,378999895.1825922,768675690.2964839
2024-09-30 00:00:00,0.140919922540225,0.1721845041784463,0.0,0.0,0.0,0.0,395067343.62814575,778307354.5880516
2024-10-01 00:00:00,0.14443513522045792,0.1246234391954445,0.0,0.0,0.0,0.0,351390273.91024697,762754732.4685639
2024-10-02 00:00:00,0.10784536695690758,0.12875282502736718,0.0,0.0,0.0,0.0,393476569.5888275,632448805.8925914
2024-10-03 00:00:00,0.19100544359705615,0.20212425554694918,0.0,0.0,0.0,0.0,339026419.6929909,577377933.4673638
2024-10-04 00:00:00,0.05095961495737378,0.07469754933438884,0.0,0.0,0.0,0.0,375440399.9452368,613113951.7555547
2024-10-05 00:00:00,0.07184013388522859,0.10407310815182465,0.0,0.0,0.0,0.0,334271475.02465886,692840901.4788157
2024-10-06 00:00:00,0.10973765233708145,0.10305364358977485,0.0,0.0,0.0,0.0,352183147.1007595,706437321.8884767
2024-10-07 00:00:00,0.14043786351128804,0.08338606041229762,0.0,-1.9771108279479977e-06,0.0,0.0,319664150.402421,714567439.3264151
2024-10-08 00:00:00,0.09071675978254776,0.06707711824412886,0.0,-1.1099013308505159e-06,0.0,0.0,317894423.3249462,715942633.0355833
2024-10-09 00:00:00,0.1311663650301849,0.055081779907072956,0.0,-9.272726708493381e-07,0.0,0.0,338257194.61314243,642109067.4611492
2024-10-10 00:00:00,0.19141047202532077,0.12774952452769991,0.0,0.0,0.0,0.0,335032072.8623161,664036825.386153
