date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_TVL-origin_protocol,forecasted_TVL_opchain-origin_protocol
2024-10-26 00:00:00,0.0,0.0,0.0,0.0,0.0,129776125.31240575,128736444.71536855
2024-10-27 00:00:00,0.0,0.0,0.0,0.0,0.0,124854728.61168247,115608722.27203842
2024-10-28 00:00:00,0.0,0.0,0.0,0.0,0.0,137213144.6613868,121219942.34730603
2024-10-29 00:00:00,0.0,0.0,0.0,0.0,0.0,123310942.41958399,122641000.38338661
2024-10-30 00:00:00,0.0,0.0,0.0,0.0,0.0,126647643.0176818,121494079.94579732
2024-10-31 00:00:00,0.0,0.0,0.0,0.0,0.0,122848398.69565116,121975216.22319107
2024-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0,128902590.67038856,124350261.37191564
2024-11-02 00:00:00,0.0,0.0,0.0,0.0,0.0,112075786.38786754,124107999.64727283
2024-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0,131661612.21600749,104493737.84908262
2024-11-04 00:00:00,0.0,0.0,0.0,0.0,0.0,127628275.76853581,106153585.43407567
2024-11-05 00:00:00,0.0,0.0,0.0,0.0,0.0,119635890.65988825,98185229.56071596
2024-11-06 00:00:00,0.0,0.0,0.0,0.0,0.0,117390810.11043674,109248481.63270347
2024-11-07 00:00:00,0.0,0.0,0.0,0.0,0.0,126726240.97830135,128355863.07801363
2024-11-08 00:00:00,0.0,0.0,0.0,0.0,0.0,105881762.71743798,131781164.81070115
2024-11-09 00:00:00,0.0,0.0,0.0,0.0,0.0,118788275.71821788,134532448.0393734
2024-11-10 00:00:00,0.0,0.0,0.0,0.0,0.0,112952421.51453412,145066996.14426523
2024-11-11 00:00:00,0.0,0.0,0.0,0.0,0.0,113484642.86055523,144367829.86163342
2024-11-12 00:00:00,0.0,0.0,0.0,0.0,0.0,106737393.21276493,146944327.47810218
2024-11-13 00:00:00,0.0,0.0,0.0,0.0,0.0,121538817.46860093,160593352.0243535
2024-11-14 00:00:00,0.0,0.0,0.0,0.0,0.0,102667918.69989945,155758853.53989917
2024-11-15 00:00:00,0.0,0.0,0.0,0.0,0.0,108359801.2038708,131824478.4311178
2024-11-16 00:00:00,0.0,0.0,0.0,0.0,0.0,109872559.47120534,154289550.57272172
2024-11-17 00:00:00,0.0,0.0,0.0,0.0,0.0,112881474.63922293,158716849.68116218
2024-11-18 00:00:00,0.0,0.0,0.0,0.0,0.0,98130537.92984715,136540047.71498087
2024-11-19 00:00:00,0.0,0.0,0.0,0.0,0.0,119131888.29260354,151407554.38625792
2024-11-20 00:00:00,0.0,0.0,0.0,0.0,0.0,107544348.52002135,147445037.58589396
2024-11-21 00:00:00,0.0,0.0,0.0,0.0,0.0,118129985.75017442,142132580.4216918
2024-11-22 00:00:00,0.0,0.0,0.0,0.0,0.0,111234317.81894138,172664471.96094397
2024-11-23 00:00:00,0.0,0.0,0.0,0.0,0.0,121584883.70545202,158556610.08222535
2024-11-24 00:00:00,0.0,0.0,0.0,0.0,0.0,108416384.16857201,174245699.52665073
2024-11-25 00:00:00,0.0,0.0,0.0,0.0,0.0,133580831.51378556,162441820.6086028
2024-11-26 00:00:00,0.0,0.0,0.0,0.0,0.0,112367544.61549303,174914618.80498016
2024-11-27 00:00:00,0.0,0.0,0.0,0.0,0.0,128282458.87830223,153369592.15164277
2024-11-28 00:00:00,0.0,0.0,0.0,0.0,0.0,114786574.88304098,177087976.2997847
2024-11-29 00:00:00,0.0,0.0,0.0,0.0,0.0,127561397.47136073,166318623.9844382
2024-11-30 00:00:00,0.0,0.0,0.0,0.0,0.0,104797806.98786245,179508437.98577952
2024-12-01 00:00:00,0.0,0.0,0.0,0.0,0.0,122882125.96745095,188667749.4038881
2024-12-02 00:00:00,0.0,0.0,0.0,0.0,0.0,112635490.12518135,195487175.59159195
2024-12-03 00:00:00,0.0,0.0,0.0,0.0,0.0,128653443.04311845,190582783.13511506
2024-12-04 00:00:00,0.0,0.0,0.0,0.0,0.0,118836527.88873148,190823408.8864057
2024-12-05 00:00:00,0.0,0.0,0.0,0.0,0.0,129615483.54701996,194714546.30338836
2024-12-06 00:00:00,0.0,0.0,0.0,0.0,0.0,112992759.30717918,175510703.08746928
2024-12-07 00:00:00,0.0,0.0,0.0,0.0,0.0,135805083.883798,210112855.3504624
2024-12-08 00:00:00,0.0,0.0,0.0,0.0,0.0,112445835.31315257,205294601.4478422
2024-12-09 00:00:00,0.0,0.0,0.0,0.0,0.0,122927604.04061367,196538596.21538347
2024-12-10 00:00:00,0.0,0.0,0.0,0.0,0.0,107297664.67005257,157761143.3601251
2024-12-11 00:00:00,0.0,0.0,0.0,0.0,0.0,130958649.8159022,175829393.46288785
2024-12-12 00:00:00,0.0,0.0,0.0,0.0,0.0,116410353.12313785,196769480.35519716
2024-12-13 00:00:00,0.0,0.0,0.0,0.0,0.0,133842702.84050752,192809047.64853296
2024-12-14 00:00:00,0.0,0.0,0.0,0.0,0.0,105700191.62048276,186702230.09606475
2024-12-15 00:00:00,0.0,0.0,0.0,0.0,0.0,129329195.31530538,183306657.51963928
2024-12-16 00:00:00,0.0,0.0,0.0,0.0,0.0,121351623.6910586,203057197.34214666
2024-12-17 00:00:00,0.0,0.0,0.0,0.0,0.0,134698358.33532852,199729287.92410213
2024-12-18 00:00:00,0.0,0.0,0.0,0.0,0.0,105769619.44137359,178408819.55849427
2024-12-19 00:00:00,0.0,0.0,0.0,0.0,0.0,131829030.10416834,173320911.99715498
2024-12-20 00:00:00,0.0,0.0,0.0,0.0,0.0,129099938.01105006,149648778.46578467
2024-12-21 00:00:00,0.0,0.0,0.0,0.0,0.0,138929134.2026368,165210671.19252023
2024-12-22 00:00:00,0.0,0.0,0.0,0.0,0.0,114368210.54505907,152697082.0304896
2024-12-23 00:00:00,0.0,0.0,0.0,0.0,0.0,138755467.83209938,145655901.23139456
2024-12-24 00:00:00,0.0,0.0,0.0,0.0,0.0,116702789.60271479,158198981.94511595
2024-12-25 00:00:00,0.0,0.0,0.0,0.0,0.0,137984799.58550227,147929637.05597046
2024-12-25 23:09:06,0.0,0.0,0.0,0.0,0.0,117614521.79410625,
2024-12-26 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2024-12-27 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2024-12-28 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2024-12-29 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2024-12-30 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2024-12-31 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-08 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-09 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-10 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-11 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-13 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-14 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-15 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-16 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-17 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-18 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-19 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-20 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-21 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-22 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-23 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-24 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-25 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-26 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-26 02:38:47,0.0,0.0,0.0,0.0,0.0,,
2025-01-26 03:00:35,0.0,0.0,0.0,0.0,0.0,,
2025-01-26 03:34:59,0.0,0.0,0.0,0.0,0.0,,
2025-01-27 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-28 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-29 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-30 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-01-31 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-01 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-02 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-03 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-04 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-05 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-06 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-07 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-08 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-09 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-10 00:00:00,0.0,0.0,0.0,0.0,0.0,,
2025-02-11 00:00:00,0.0,0.0,0.0,0.0,0.0,,
