date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-contango_v1_protocol,forecasted_TVL_opchain-contango_v1_protocol
2024-09-01 00:00:00,0.0729917162715245,0.10089379867877453,0.03420055647745608,-4.7585802490782306e-06,0.0,0.0,332200.2977700545,350768.4145653796
2024-09-02 00:00:00,0.13155327100362246,0.14374691641478987,0.025081099493758505,-1.3497191652820626e-05,0.0,0.0,327540.73580369126,354187.897966166
2024-09-03 00:00:00,0.10060836090270003,0.10511069260435567,0.019024088785011807,-1.0826348289903013e-05,0.0,0.0,330545.80812322436,389680.4925466641
2024-09-04 00:00:00,0.08148345604464545,0.1346562642078763,0.0,0.0,0.0,0.0,324394.67797509924,322869.9404390004
2024-09-05 00:00:00,0.055813571547534725,0.1217797373941002,0.0,0.0,0.0,0.0,336314.0700961531,341152.7997301916
2024-09-06 00:00:00,0.08439567082788241,0.11013993594959591,0.0,0.0,0.0,0.0,321410.40011819155,322883.91352423915
2024-09-07 00:00:00,-0.019924217082249476,0.14336285290212059,0.04391165819709813,0.0,0.0,0.0,300706.9638189788,348600.0294930311
2024-09-08 00:00:00,0.1751087455595644,0.1598005449231957,0.05010990265159712,0.0,0.0,0.0,306716.9039999284,329397.9361291759
2024-09-09 00:00:00,-0.0016505377280997878,0.14980851032021403,0.04069958514588156,0.0,0.0,0.0,307989.00354893884,332940.813552555
2024-09-10 00:00:00,0.11765349078208301,0.12032742952159978,0.0,0.0,0.0,0.0,293999.13785500213,323899.49070770416
2024-09-11 00:00:00,0.13241620936128504,0.10236869141481231,0.0,0.0,0.0,0.0,285872.97541782405,351552.54031394364
2024-09-12 00:00:00,0.11521356582990183,0.15383559043965697,0.0,0.0,0.0,0.0,307811.47489608923,323450.2942934117
2024-09-13 00:00:00,0.1281112128691826,0.04690691611632117,0.022821995725889374,0.0,0.0,0.0,300231.9316284572,347748.95839958993
2024-09-14 00:00:00,0.12109143390475167,0.07947854581246805,0.03544052751701386,0.0,0.0,0.0,298627.3120895693,335974.74858446117
2024-09-15 00:00:00,0.09270417649302723,0.05303479883240546,0.030892996211189114,0.0,0.0,0.0,307788.32729808945,383188.59966622305
2024-09-16 00:00:00,0.17720615020687988,0.14840476405504083,0.02278498571389231,7.424070949779291e-10,0.0,0.0,309149.6046931866,330148.7199367799
2024-09-17 00:00:00,0.1453311444580031,0.09306906756351728,0.026638924332046666,1.0759433159245574e-09,0.0,0.0,309291.66604572005,322199.6628784432
2024-09-18 00:00:00,0.11786404114291994,0.13337096325989437,0.026593494659661186,9.542522060771524e-10,0.0,0.0,293005.17013470095,343449.6644940609
2024-09-19 00:00:00,0.1506748141726983,0.07439930800962759,0.03718452411738845,0.0,0.0,0.0,287784.9705012301,348413.12286688795
2024-09-20 00:00:00,0.11984603859714722,0.09380989070571148,0.042594566854612013,0.0,0.0,0.0,311541.59332074114,344064.4029204918
2024-09-21 00:00:00,0.10559971816222784,0.10620748519065029,0.04751932702505688,0.0,0.0,0.0,264404.6448115553,364000.1459648882
2024-09-22 00:00:00,0.1292500628113097,0.16597208677275282,0.043088021690194066,0.0,0.0,0.0,277312.7352051522,412946.80005743157
2024-09-23 00:00:00,0.09617298938743318,0.1857020354576622,0.027744347394248588,0.0,0.0,0.0,266576.8839053152,344283.05072195816
2024-09-24 00:00:00,0.15173145734251475,0.1224545905441247,0.015527862946043542,0.0,0.0,0.0,258394.9818863355,374265.62168129714
2024-09-25 00:00:00,0.11419097627579815,0.10593929102620452,0.012130115455417348,1.118830868434253e-09,0.0,0.0,273962.18696618476,403027.54872639896
2024-09-26 00:00:00,0.09360405079192174,0.08792265339597695,0.01390333356987059,1.4811696399093904e-09,0.0,0.0,252991.97471492045,411812.8625658771
2024-09-27 00:00:00,0.16524241426736774,0.08933341779550663,0.013044241890136485,1.130810171429529e-09,0.0,0.0,242433.60179745418,374234.72258260584
2024-09-28 00:00:00,0.09490118469602735,0.19352965781057926,0.03707693074810801,-1.2641686900779048e-06,0.0,0.0,241443.55856020175,386173.2117238272
2024-09-29 00:00:00,0.07671664776971066,0.13496954995892163,0.040257370683109875,-1.5342271278029556e-06,0.0,0.0,259932.85582774627,368151.62801483367
2024-09-30 00:00:00,0.0400114843058669,0.05837383705691169,0.03088795976549875,-1.4292200892692582e-06,0.0,0.0,246693.44836692276,430344.0400265327
2024-10-01 00:00:00,0.08941794915720204,0.08837990355785953,0.029031135439685146,9.010327230785861e-10,0.0,0.0,235281.0909609723,361156.00130074297
2024-10-02 00:00:00,0.07278325951932185,0.10724033116186778,0.026977438907291984,6.101701660070685e-10,0.0,0.0,233845.2826732219,357464.0226378341
2024-10-03 00:00:00,0.07839514612034477,0.09690113416465326,0.03473966449283114,1.2768710057302104e-09,0.0,0.0,255426.76196899996,339329.0422598724
2024-10-04 00:00:00,0.0978020831518938,0.10283460195628882,0.02515744466314184,-4.999200077774136e-06,0.0,0.0,256981.78558748928,353524.6907274699
2024-10-05 00:00:00,0.12028990443029369,0.05053012092707645,0.019411753595741026,-6.325177560760728e-06,0.0,0.0,251705.18101813027,369269.5172637848
2024-10-06 00:00:00,0.11397709557750496,0.09160669035164076,0.026869413226278466,-4.709452363271643e-06,0.0,0.0,254587.72111999875,370581.5855192056
2024-10-07 00:00:00,0.03958863214670507,0.14365453423621627,0.022327710771398335,-2.4921170640018563e-25,0.0,0.0,267184.7248901872,340962.72334336693
