date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-compound_v2_protocol,forecasted_TVL_opchain-compound_v2_protocol
2024-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2147624613721863,658780417.5713445,633386762.2681404
2024-09-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1745892123753441,565193922.920779,646412437.1074935
2024-09-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.12767923880322113,580166902.3968269,612983765.8342398
2024-09-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.20651339211813782,553144742.7205893,606130719.3209795
2024-09-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.22486978977109023,551906246.1980712,670799462.0674026
2024-09-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18998864337861812,563327315.3890494,610322718.9371662
2024-09-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19047533839925646,541736035.4982754,586200821.790451
2024-09-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1423616653047649,544303782.6967775,554446915.4971776
2024-09-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.3072965767508147,503908206.61478627,564901286.932372
2024-09-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.17117277617972348,510293531.6734016,649411036.4697964
2024-09-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.16531884605450695,510006459.1512392,615694905.9841299
2024-09-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1537032931999861,531179289.0772457,578491751.042295
2024-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.3387899658271294,471060404.6421727,583115183.3065443
2024-09-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.27405396827420436,564075761.1377878,649562073.1331108
2024-09-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.31073192660230253,554382868.7615625,604665513.1257069
2024-09-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2537334768181989,535432439.3998824,603473948.1474149
2024-09-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21841986013537687,543709485.5257521,572475614.9772643
2024-09-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.26784612810105635,545392733.4749637,618426978.7076528
2024-09-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1441690345041089,578257614.3360841,622697787.2756026
2024-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18254057686779276,506702225.4789057,648849983.6692065
2024-09-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14725081797511694,552973669.1530529,634033063.740176
2024-09-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.3756796670682206,494285638.7769971,651499085.6922771
2024-09-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.3304307740135038,554738787.9697876,675349712.5560275
2024-09-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2970944872930014,495768549.5701583,762497740.2944969
2024-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.3745922932366701,543885332.1491207,738641643.0461056
2024-09-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.23274481229056232,501060159.06949633,663805568.9737152
2024-09-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.34722139961020615,510727938.2230321,711917235.2456058
2024-09-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19228000039308504,523605495.3034523,716606717.9691405
2024-09-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.06663880372526758,499902585.6465751,695005692.6105676
2024-09-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.30081097557147574,501639439.36594653,666209511.9710581
2024-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2939410050925304,546449926.4835849,663515671.593591
2024-10-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.12153011728484187,494361082.8743095,626939649.7542368
2024-10-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.31701262767552707,520811357.8689869,580031966.1875563
2024-10-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.333026217689736,524217527.4143037,595553482.5447121
2024-10-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2515161201019639,486663754.5745089,652339528.5948116
2024-10-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2908576792598737,470331410.6585717,611066209.1659931
2024-10-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.20700481660786557,447874398.05399716,676271210.3982923
2024-10-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18317847450601749,483314785.94126076,690463041.6505153
2024-10-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2096775626744643,483595419.9038351,665251646.6311404
2024-10-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21364802804197827,490346813.3933479,666092138.9056023
2024-10-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2702649348219386,521255828.56128126,625055493.9538031
2024-10-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.30744877198640325,432953400.2379868,600336679.0129434
2024-10-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2205450540782266,459110271.4484471,547204764.368461
2024-10-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.09747740537863793,469530886.2652413,610549569.5521716
2024-10-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.25124343360126994,486187909.6583621,656529117.2088718
2024-10-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2007261942533814,500447879.12932783,649158793.0314119
