date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-extra_finance_leverage_farming_protocol,forecasted_TVL_opchain-extra_finance_leverage_farming_protocol
2024-09-01 00:00:00,0.0,0.0,0.032605362268827036,0.0,0.0,0.0,109684219.1966971,113757020.76715146
2024-09-02 00:00:00,0.0,0.0,0.02673093883403821,0.0,0.0,0.0,110720848.95397788,96147142.76877621
2024-09-03 00:00:00,0.0,0.0,0.028686726600815178,0.0,0.0,0.0,112264687.30743496,99594636.0595164
2024-09-04 00:00:00,0.0,9.965679509139622e-10,0.0,-5.9177441727284185e-06,0.0,0.0,109735761.70720603,106537104.23021097
2024-09-05 00:00:00,0.0,5.393426148353651e-10,0.0,-7.2747625659845825e-06,0.0,0.0,115701440.56771477,117374926.30773315
2024-09-06 00:00:00,0.0,3.010883062466709e-10,0.0,-2.0310894373786294e-05,0.0,0.0,118782212.53550419,98516386.42813553
2024-09-07 00:00:00,0.0,0.0,0.0,1.363577240047436e-09,0.0,0.0,121117109.4354969,107554388.33655377
2024-09-08 00:00:00,0.0,0.0,0.0,3.275961491565777e-10,0.0,0.0,115542187.56053443,102108663.86862436
2024-09-09 00:00:00,0.0,0.0,0.0,4.3926453061235985e-10,0.0,0.0,114639487.80965127,110230447.70986797
2024-09-10 00:00:00,0.0,0.0,0.0,-3.2567258179781766e-06,0.0,0.0,111559158.45151201,113303591.99900177
2024-09-11 00:00:00,0.0,0.0,0.0,-3.184156608264729e-06,0.0,0.0,120387936.75324756,99057877.16577205
2024-09-12 00:00:00,0.0,0.0,0.0,-4.226509376434026e-06,0.0,0.0,113903616.41599324,110861069.33363979
2024-09-13 00:00:00,1.2512933279681868e-09,0.0,0.0,-1.5489980310815022e-06,0.0,0.0,121615082.63682643,117268246.24449307
2024-09-14 00:00:00,6.505330867892936e-10,0.0,0.0,-1.3764109053453492e-06,0.0,0.0,104308707.38074835,101414554.6932515
2024-09-15 00:00:00,1.7093158645454046e-09,0.0,0.0,-2.9839067268988895e-06,0.0,0.0,120886423.07636392,110334563.71984574
2024-09-16 00:00:00,0.0,9.342109185896384e-10,1.017728677792179e-07,0.0,0.0,0.0,107199131.78223665,108037222.3675197
2024-09-17 00:00:00,0.0,1.373183008507295e-09,0.0,0.0,0.0,0.0,124556792.3802665,107940576.16324243
2024-09-18 00:00:00,0.0,9.217817550406307e-10,0.0,0.0,0.0,0.0,109563596.43550245,105424652.47242756
2024-09-19 00:00:00,0.0,0.0,0.0,1.0076625703904264e-09,0.0,0.0,115635821.22990231,117937774.76594305
2024-09-20 00:00:00,0.0,0.0,0.0,8.642488676617572e-10,0.0,0.0,114757722.72529641,105569720.99104914
2024-09-21 00:00:00,0.0,0.0,0.0,7.193656642993709e-10,0.0,0.0,129248990.34535207,121180660.65995193
2024-09-22 00:00:00,0.016828645075243533,0.0,0.003481475124827357,-4.000073038296782e-06,0.0,0.0,116340642.0692723,114338644.74725054
2024-09-23 00:00:00,0.0307555441554644,0.0,0.0035356954253767977,-4.413802847233667e-06,0.0,0.0,141154806.60087386,109809020.50743087
2024-09-24 00:00:00,0.021697669485166122,0.0,0.0,-4.468476257063064e-06,0.0,0.0,110955182.65530618,115218347.31025578
2024-09-25 00:00:00,0.0037936511922309056,8.026518319766872e-10,0.001208057214778655,9.419001762457707e-10,0.0,0.0,125269987.2379511,117521047.53840566
2024-09-26 00:00:00,6.287801744989459e-05,8.967845694253891e-10,0.0001302064300794722,7.267249182057285e-10,0.0,0.0,115408329.3818715,113897593.08760792
2024-09-27 00:00:00,-1.6279594606948678e-05,8.039434439172119e-10,0.0009050646195547533,7.060488436959662e-10,0.0,0.0,123233160.50711831,115762653.3877753
2024-09-28 00:00:00,-0.0690465360563585,0.0,-0.001797659913204216,-4.6546388171699216e-06,0.0,0.0,108499507.12509872,132957423.67685728
2024-09-29 00:00:00,-0.23678826152782012,0.0,-0.00020631840468830493,-6.614317047638919e-06,0.0,0.0,114432282.66558649,114224068.64716263
2024-09-30 00:00:00,-0.32999950218933455,0.0,0.0003680868896923749,-4.3680285522713315e-06,0.0,0.0,123418300.04196696,132176269.24467507
2024-10-01 00:00:00,0.0,0.0,0.0,8.335316879974842e-10,0.0,0.0,123513887.45079865,121379035.42241865
2024-10-02 00:00:00,0.0,0.0,0.0,6.921661635377985e-10,0.0,0.0,133258304.16422635,104362415.83145024
2024-10-03 00:00:00,0.0,0.0,0.0,1.0749353810534674e-09,0.0,0.0,128316088.97331718,98064083.63793296
2024-10-04 00:00:00,0.0,0.0,0.0,1.256925700746311e-09,0.0,0.0,128535361.9566836,107738086.88891275
2024-10-05 00:00:00,0.0,0.0,0.0,1.3186364446602046e-09,0.0,0.0,127942011.20888445,101826323.12211119
2024-10-06 00:00:00,0.0,0.0,0.0,9.148813516368741e-10,0.0,0.0,132979114.54917786,114679851.52302022
2024-10-07 00:00:00,0.00041671105885833834,0.0,0.0,-2.418313879570478e-06,0.0,0.0,136735449.1262046,104650285.08302474
2024-10-08 00:00:00,-0.008906824056631018,0.0,0.0,-3.0988126015430813e-06,0.0,0.0,130806456.20557414,114566547.58955312
2024-10-09 00:00:00,0.003948241742441441,0.0,0.0,-3.943152619037064e-06,0.0,0.0,136234791.68656924,97041941.74359211
2024-10-10 00:00:00,0.0,0.0,0.0,-4.487936692608409e-06,0.0,0.0,135329287.9447962,104669766.40792936
