date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-dforce,forecasted_TVL_opchain-dforce
2024-09-01 00:00:00,0.10959253746823483,0.07082808747411289,0.36288981840360307,6.270183125130062e-05,0.0,0.0,989620.858474136,1010482.5896345625
2024-09-02 00:00:00,0.16927330490168008,0.07733833339541417,0.07694003147894586,5.886290533947413e-05,0.0,0.0,959689.4371515088,1067609.706205094
2024-09-03 00:00:00,0.14752326749816966,0.08392082931024543,0.03603864169248502,8.08140584116145e-05,0.0,0.0,941048.33249974,972295.3031184755
2024-09-04 00:00:00,0.08643998167416087,0.11654119776358263,0.0242193198049172,0.0,0.0,0.0,957882.0993298611,921251.880027746
2024-09-05 00:00:00,0.09078205705425699,0.12505005321588053,0.03308520093796181,0.0,0.0,0.0,926147.567581116,926573.0825181742
2024-09-06 00:00:00,0.13050287869287674,0.10897552994538533,0.03803941359343491,0.0,0.0,0.0,969335.5271097771,982041.3923275099
2024-09-07 00:00:00,0.07717336841609164,-0.009021703825244474,0.07389445698155564,0.0,0.0,0.0,932265.5577075889,951799.554345173
2024-09-08 00:00:00,0.11498623658096145,-0.047884888831408304,0.1093871691082154,0.0,0.0,0.0,966788.4103085297,1005097.2323505093
2024-09-09 00:00:00,0.1374503881024735,-0.03223680500007312,0.08303188808297182,0.0,0.0,0.0,942193.2865248648,899526.367264031
2024-09-10 00:00:00,0.17804169167505932,0.16052988205222093,0.07800649520426815,0.0,0.0,0.0,893904.1103041562,1063581.3256541935
2024-09-11 00:00:00,0.15868909985146032,0.11832710312726645,0.13061452285199493,0.0,0.0,0.0,1006242.8839686015,1030511.2918533128
2024-09-12 00:00:00,0.11538806669864522,0.1451420342860749,0.1162444638777329,0.0,0.0,0.0,913841.6664978599,993954.1408178253
2024-09-13 00:00:00,0.07808807347870597,0.11893326825631682,0.06093961205161355,0.0,0.0,0.0,967968.5095367404,965412.9307611847
2024-09-14 00:00:00,0.09708627127143464,0.0552110370403662,0.07950028565803098,0.0,0.0,0.0,845822.301601204,945308.5221704828
2024-09-15 00:00:00,0.10769553272130275,0.08401356447432022,0.06814066147584054,0.0,0.0,0.0,855393.864395286,930728.0798288626
2024-09-16 00:00:00,0.12587142943971,0.08284792296067008,0.056636202514552925,0.0,0.0,0.0,824697.4092608383,1023127.9588455638
2024-09-17 00:00:00,0.16300666165087982,0.1305554540125118,0.06907097582971554,0.0,0.0,0.0,871715.6691641187,910459.6778579447
