protocol,TVL-pvalue,TVL-percent_change,TVL-tstat,TVL_opchain-pvalue,TVL_opchain-percent_change,TVL_opchain-tstat
renzo_protocol,0.0,0.4281,-12.660926392328019,7.110166593271572e-07,-0.1486,5.185694641511074
ether__dot__fi_vaults_protocol,0.0,1.3505,-16.831872731142376,0.0,1.1297,-19.248687630443403
kelp_rseth_protocol,2.912411879885113e-06,0.2587,-4.838334200952002,1.016361439454272e-09,0.3804,-6.461131939399608
compound_v2_protocol,0.0,-0.232,17.69443265171724,1.2955858608165727e-11,-0.105,7.14989173826473
tlx_finance_protocol,1.7463319679222877e-10,-0.5323,6.854243021859994,1.5277112908052004e-11,-0.4384,7.1026501376626445
origin_protocol,1.3200498389043247e-05,0.1605,-4.494520134312085,1.944530669817368e-08,0.2254,-5.899258018195242
extra_finance_leverage_farming_protocol,0.0,0.1564,-10.831280082865495,0.0,0.2784,-17.472036669899964
lets_get_hai_protocol,0.0013150568502207083,-0.0751,3.243768143632775,0.539044393103943,0.0159,-0.614976382669922
derive_v2_protocol,0.0,1.0564,-13.70361934900398,0.0,0.4024,-9.44974168984989
compound_v2_protocol,0.0,-0.232,17.69443265171724,5.52814016785419e-10,-0.0933,6.488214951939286
beefy,2.5812585624507278e-08,0.0567,-5.815263886530191,3.33491789739071e-09,0.0601,-6.220115127292782
frax_swap_protocol,0.0,-0.36,21.143421692444868,0.0,-0.1889,11.432006477533744
origin_protocol,1.3200498389043247e-05,0.1605,-4.494520134312085,3.72906505674564e-09,0.2386,-6.231267433830158
contango_v1_protocol,0.0,-0.1692,13.08934476728208,1.60606568249122e-05,-0.0683,4.395540226520001
velodrome_v3_protocol,0.0,-0.7502,12.357630846511928,0.030739338633185564,-0.2205,2.179917732436033
uniswap_v1_protocol,0.0,-0.1221,11.346162500299842,7.084974562587831e-08,-0.0657,5.529271700727162
uniswap_v1_protocol,0.0,-0.1221,11.346162500299842,1.8109965838064568e-07,-0.0629,5.345195238541054
idle_protocol,0.0,-0.3519,9.21641277908053,0.0,-0.404,12.524798645500487
dforce,5.2837956232565375e-11,1.7812,-7.238981335967141,1.6671330982376276e-11,1.9446,-7.465264936887348
wemix_on_kroma_protocol,2.220446049250313e-16,-0.2316,8.848548488679612,0.3737980495565738,0.0195,-0.8907334649379437
derive_v2_protocol,0.0,1.0564,-13.70361934900398,2.220446049250313e-16,0.3935,-9.155424491684682
balmy_protocol,4.059525709809719e-06,-0.0792,4.6963001565534785,0.00048823920690455047,0.0591,-3.5362384881631055
extra_finance_leverage_farming_protocol,0.0,0.1564,-10.831280082865495,0.0,0.2826,-18.39753739690874
resolv,5.268198350893982e-07,1.4063,-5.3119932663896305,9.874891147010345e-07,1.3166,-5.169536479444629
