date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-compound_v2_protocol,forecasted_TVL_opchain-compound_v2_protocol
2024-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2743824566018529,572151584.9784839,638156431.9379457
2024-09-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.33329052434253276,598012615.328201,611827225.8093319
2024-09-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.20330050153800663,550020535.1046711,649527613.9766542
2024-09-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.16877436841232618,518764166.9359589,636243008.3896672
2024-09-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.15643855379176105,533071192.3376602,610194439.724051
2024-09-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.20751649288167215,552906785.4897374,572545815.5701041
2024-09-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0681721782695826,517475670.3691115,518761814.6662558
2024-09-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.12187696972458226,553926018.2127179,543179406.3392655
2024-09-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14078716390877666,532315342.64818674,561302006.6561227
2024-09-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2122623300793127,517821786.7873929,621283163.4175575
2024-09-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.17516840053195784,497360091.6925935,640636681.3230785
2024-09-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.13198639143070656,536740665.9518284,605010913.7280034
2024-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2680176298937652,516148598.3119351,663191077.2595822
2024-09-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2552420862145012,489738818.5215903,639902236.3848137
2024-09-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.13906039975319667,497030771.6736603,617831400.6199261
2024-09-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.24809325571106017,514075949.4380979,613755814.1416771
2024-09-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.42007268581980167,470782989.7714456,615551998.5409212
2024-09-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.23801279629262004,455466931.33345616,627196788.7870388
2024-09-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18581596171287665,451405478.191638,604148913.8719764
2024-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.11514191938343929,450119626.3337206,678451342.282541
2024-09-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.17259217910745514,439461393.2153781,702861156.1767609
2024-09-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.16515032600783439,438228070.1868982,663851239.5918696
2024-09-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14601156790612388,387548614.0673506,654364912.1549766
2024-09-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.12121184046898552,418492653.50616914,705755098.0055048
2024-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.13446214213504637,406260988.5469706,734586546.826525
2024-09-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2645744775175695,397253016.84916806,671008568.6036608
2024-09-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.10789155079069343,403246966.94703627,717908923.4959298
2024-09-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.13130846987720252,402700560.1144207,704993696.5975513
2024-09-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.15199986237510846,386539614.46417123,696986009.5260159
2024-09-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2749639358106921,395690311.3562044,774077646.9897782
2024-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.25301739037685006,411795308.45425904,693107559.7710456
2024-10-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19876945531500564,390370552.1518757,584881824.0053803
2024-10-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21174252102329488,386048968.6631105,629458974.211271
2024-10-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18389516774689188,340936311.38167065,615373758.7836838
2024-10-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14396287524406914,363775783.5761039,614834114.6282747
2024-10-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1983103356478805,378866712.9966816,622819469.1488141
2024-10-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2556444866208317,345561117.9394923,681694825.798646
2024-10-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21584388877361968,393540244.9014994,646589440.4597917
2024-10-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14982714887970386,377466957.768639,639638016.6607171
2024-10-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.22354645476705884,350268473.4854429,611294919.3618873
2024-10-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.34575390129401873,361269913.6991409,648677730.0905293
2024-10-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.3233616991714019,362759763.3487313,636662721.5519404
2024-10-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.3053958209817637,375756686.71840143,670215506.5930746
2024-10-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.40062342533151984,367000442.4749693,647055373.077307
2024-10-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.23771977537601965,334601479.1582375,653179844.7112327
2024-10-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.23681652029997197,348044678.3795348,682275957.0676452
