transaction_date,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,retained_percent,daa_to_maa_ratio,cum_transferred
2024-09-03,615.0,381.0,7.433291060058039e+17,0.12172552901972117,352.0,0.09973753280839895,0.03,7.433291060058039e+17
2024-09-04,321.0,186.0,2.009133512685852e+17,0.08029721631323496,162.0,0.15591397849462366,0.01,9.442424572743891e+17
2024-09-05,204.0,126.0,3.1948204504110336e+17,0.05550497495256428,90.0,0.21428571428571427,0.01,1.2637245023154924e+18
2024-09-06,227.0,134.0,1.7017556101999846e+17,0.05325334002831423,102.0,0.208955223880597,0.01,1.4339000633354908e+18
2024-09-07,140.0,92.0,1.2110403449607317e+17,0.0566156057207697,60.0,0.2608695652173913,0.01,1.555004097831564e+18
2024-09-08,148.0,96.0,4.299788537204297e+16,0.04850062872812413,62.0,0.22916666666666666,0.01,1.598001983203607e+18
2024-09-09,133.0,86.0,2.650207183915338e+17,0.02812772768831937,47.0,0.27906976744186046,0.01,1.8630227015951409e+18
2024-09-10,100.0,68.0,1.591469509593538e+17,0.025046741855077593,26.0,0.35294117647058826,0.01,2.0221696525544947e+18
2024-09-11,99.0,64.0,7.892690014274377e+17,0.013088893101487463,26.0,0.359375,0.0,2.8114386539819325e+18
2024-09-12,625.0,168.0,2.3113871349529416e+19,0.015564741108232026,430.0,0.14285714285714285,0.01,2.592531000351135e+19
2024-09-13,503.0,173.0,2.98416419757461e+19,0.01786951094906832,328.0,0.1907514450867052,0.01,5.576695197925745e+19
2024-09-14,484.0,162.0,3.0101984730495996e+19,0.023607579555707393,334.0,0.16049382716049382,0.01,8.586893670975344e+19
2024-09-15,468.0,150.0,1.332797354765009e+19,0.012113802558123348,296.0,0.2,0.01,9.919691025740353e+19
2024-09-16,369.0,127.0,7.877498343469671e+18,0.013230165008906542,174.0,0.25984251968503935,0.01,1.070744086008732e+20
2024-09-17,363.0,140.0,8.079473361495852e+18,0.0336094896902975,188.0,0.17857142857142858,0.01,1.1515388196236906e+20
2024-09-18,571.0,324.0,2.849308729192299e+19,0.023174388034294256,271.0,0.10802469135802469,0.02,1.4364696925429205e+20
2024-09-19,2209.0,1584.0,5.994786992799344e+18,0.03728614395821993,863.0,0.14583333333333334,0.12,1.4964175624709138e+20
2024-09-20,3770.0,2358.0,3.5865033124407414e+18,0.04839426034754519,1483.0,0.5619168787107719,0.18,1.5322825955953213e+20
2024-09-21,4481.0,3558.0,9.4214011186798e+18,0.05531144381857557,1116.0,0.5632377740303541,0.27,1.6264966067821193e+20
2024-09-22,6860.0,5105.0,1.6670090407443554e+19,0.055730919801692196,1068.0,0.6166503428011754,0.38,1.793197510856555e+20
2024-09-23,6287.0,5403.0,3.0272279511900585e+18,0.02428349459891108,621.0,0.7877105311863779,0.41,1.8234697903684554e+20
2024-09-24,10181.0,5614.0,1.607584846621666e+19,0.07205151129011017,832.0,0.7034200213751336,0.42,1.984228275030622e+20
2024-09-25,10639.0,5714.0,5.538382750100091e+18,0.08067377121661162,602.0,0.7968148407420371,0.43,2.0396121025316228e+20
2024-09-26,11192.0,6038.0,4.065197916149751e+18,0.08205818633094959,1047.0,0.7567075190460417,0.45,2.0802640816931203e+20
2024-09-27,12210.0,6563.0,3.065609398473768e+19,0.09081780172562942,1236.0,0.7501142770074661,0.49,2.386825021540497e+20
2024-09-28,15843.0,8708.0,7.117351370073287e+18,0.06652651131451408,1576.0,0.6479099678456591,0.65,2.45799853524123e+20
2024-09-29,17007.0,9799.0,4.329254928676249e+18,0.0757526313782003,830.0,0.8226349627513011,0.73,2.5012910845279925e+20
2024-09-30,17959.0,10099.0,3.009009662293313e+18,0.07791271895602125,543.0,0.8572135855035152,0.76,2.5313811811509256e+20
2024-10-01,18736.0,10282.0,6.587147575473772e+18,0.06593846752178535,460.0,0.8415677883680218,0.17,2.5972526569056633e+20
2024-10-02,18261.0,10520.0,7.461285575867872e+18,0.07206031083687468,556.0,0.8575095057034221,0.17,2.671865512664342e+20
