transaction_date,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,retained_percent,daa_to_maa_ratio,cum_transferred
2024-06-02,43.0,29.0,6.07009351785354e+17,0.0007384388789649359,25.0,0.27586206896551724,0.04,6.07009351785354e+17
2024-06-03,109.0,58.0,3.423452657104146e+17,0.0023731538661938903,56.0,0.1724137931034483,0.09,9.493546174957686e+17
2024-06-04,64.0,44.0,2.178164436507347e+17,0.0012216789856006635,30.0,0.36363636363636365,0.07,1.1671710611465032e+18
2024-06-05,50.0,35.0,1.6070662285263501e+19,0.000784712856212517,23.0,0.45714285714285713,0.05,1.7237833346410004e+19
2024-06-06,43.0,30.0,3.3719120627350566e+17,0.000237800424464629,19.0,0.4,0.05,1.757502455268351e+19
2024-06-07,47.0,33.0,3.595243069791755e+17,9.5915815841969e-05,20.0,0.2727272727272727,0.05,1.7934548859662686e+19
2024-06-08,29.0,21.0,4.882373696277458e+16,1.5226050289149995e-05,11.0,0.47619047619047616,0.03,1.7983372596625461e+19
2024-06-09,31.0,23.0,5.865658699650273e+16,1.2801212783165999e-05,10.0,0.4782608695652174,0.04,1.8042029183621964e+19
2024-06-10,35.0,25.0,7.348499720481722e+16,0.00033660866584035997,16.0,0.28,0.04,1.8115514180826782e+19
2024-06-11,34.0,27.0,3.357803872965052e+16,2.8306546360453997e-05,19.0,0.2962962962962963,0.04,1.8149092219556432e+19
2024-06-12,28.0,20.0,8.372118679863754e+16,3.0617687130797e-05,13.0,0.3,0.03,1.8232813406355069e+19
2024-06-13,143.0,67.0,2.7924983592518982e+17,0.0008624731503280177,51.0,0.08955223880597014,0.1,1.851206324228026e+19
2024-06-14,288.0,120.0,1.0644019298661494e+18,0.0005831061118486265,77.0,0.23333333333333334,0.18,1.957646517214641e+19
2024-06-15,123.0,65.0,2.5673257058905456e+17,1.4649125545380998e-05,23.0,0.5230769230769231,0.1,1.9833197742735462e+19
2024-06-16,161.0,72.0,5.17698062187867e+17,0.0014860719918960924,34.0,0.3194444444444444,0.11,2.035089580492333e+19
2024-06-17,163.0,76.0,9.337535392302872e+17,0.00018139719645558593,33.0,0.27631578947368424,0.12,2.1284649344153616e+19
2024-06-18,174.0,84.0,2.304116888139213e+17,1.2513253010491996e-05,40.0,0.20238095238095238,0.13,2.1515061032967537e+19
2024-06-19,118.0,64.0,6.68668989190041e+17,9.172191103463998e-06,24.0,0.34375,0.1,2.218373002215758e+19
2024-06-20,76.0,42.0,1.2892908381595133e+17,1.0060079976521996e-05,13.0,0.35714285714285715,0.06,2.231265910597353e+19
