date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-ether__dot__fi_vaults_protocol,forecasted_TVL_opchain-ether__dot__fi_vaults_protocol
2024-09-01 00:00:00,28.70841574146042,29.756868141249512,9.211267130957669,0.0005854454843967692,287590797923436.94,11738.406570756119,517474007.18229836,534980701.2439714
2024-09-02 00:00:00,13.600673061216565,30.942619838243903,14.48914255716758,0.00028769881982760096,165535251502843.66,10874.351530864447,564517873.7918336,582343207.35135
2024-09-03 00:00:00,21.179678946051293,34.40408505034898,8.295102195011506,0.0004152445641704591,247737548727061.2,8974.490859518866,558684520.0240736,499615510.1737926
2024-09-04 00:00:00,31.8596834766887,28.78532680378948,5.873420258936881,0.0005094219544347314,422837514005511.44,15411.1110449029,487762754.65898234,532369201.89423126
2024-09-05 00:00:00,6.668833533072129,32.76365604577272,14.040952236920763,0.0004609049281041375,379188185592705.06,10750.026810499807,401663371.4923962,570861035.3411875
2024-09-06 00:00:00,12.336178659701705,38.22098233345207,19.769453326517354,0.0004902086726835906,352906837255359.5,10447.627553005215,286223661.64259434,507491155.9978224
2024-09-07 00:00:00,17.00760287124479,29.683214903075392,17.561100709207533,0.00044293851889722747,307866905616325.7,8320.519925118379,172826328.29346138,627783213.4082105
2024-09-08 00:00:00,16.866259482044214,24.830937037947464,14.019769907109106,0.00030109464757126404,204232945294536.44,6225.152337952484,93665585.05889803,623588478.2277555
2024-09-09 00:00:00,15.92209276798177,15.382101996142705,18.458036234667105,0.00048748412055526884,68284968680485.46,7997.622392977656,35703320.415328525,502829279.1121959
2024-09-10 00:00:00,17.546813826321813,28.91381732090965,29.308256764398585,0.0003631614308492807,311227574003215.9,5430.204128511623,5737467.822672447,536022309.91508716
2024-09-11 00:00:00,40.112851698515165,34.38334903448224,26.171953916746304,0.0005353265330502741,266832319718881.28,6975.023482806605,311789.900619838,548852037.216332
2024-09-12 00:00:00,18.304109931180378,40.07017618793188,8.58113533179031,0.0003622228249997007,122914599086376.45,6455.8171236984135,4525.503174511338,583675023.1850603
2024-09-13 00:00:00,31.018683714621208,50.12465717158106,15.537365923794535,0.00040049233615587566,618257397220273.6,5285.264818915762,19.874609750690492,532516332.0694715
2024-09-14 00:00:00,50.79693231666011,44.54938563371455,11.457282569860212,0.00034425074856601385,902566277251982.6,206.11166255434372,-0.929104276911753,563642492.8240035
2024-09-15 00:00:00,27.562331503681314,28.97533216803314,19.25617692483973,0.000455842847814415,608854260247427.5,3433.058808009016,-0.9890976085519559,530222182.06764036
2024-09-16 00:00:00,21.477549312544287,39.90522662195677,15.142148997267276,0.0004904383998170429,303988262983361.44,1130.0108719299972,1.0984909867479915,563813047.660699
2024-09-17 00:00:00,22.27913898579931,29.406693896354067,19.297890512905628,0.0002894325590942021,293348748458241.6,1871.2996799767134,0.7006675522719596,616201620.8095826
2024-09-18 00:00:00,26.276702818164836,30.15201562260097,13.045395175271132,0.0004272895560801952,287756113901702.56,8086.0191382987605,0.4738282026929705,547681146.8265377
2024-09-19 00:00:00,18.380987006062234,20.69980998036664,16.266568693514824,0.0006093000388368501,68518641616880.97,3855.0170270288004,3.5933764236234063,519746852.4234443
2024-09-20 00:00:00,20.94236478901063,11.76836611530674,16.063516607851316,0.0008268696352222729,40124832347401.05,5610.877402185116,62.500930508683005,475536591.8413081
2024-09-21 00:00:00,14.180410841293172,17.228725956170674,10.568267118822858,0.0005707159605945392,72845049922347.31,3466.3394788486066,1166.1786561964589,479794125.9385825
2024-09-22 00:00:00,5.191780617876174,40.11738000329951,18.216278281358015,0.0006826121517665408,64574177187539.266,5284.466333917026,8679.707322001595,514312621.44495213
2024-09-23 00:00:00,24.615556655525356,13.809695535408375,22.029117013437947,0.0005086256793665734,46978771171242.375,5066.71456602718,35543.07195381169,487004239.58068043
2024-09-24 00:00:00,14.379043966413157,26.73137752188866,24.14557543742837,0.0006956342416290718,50830763134566.125,5012.824744938698,106322.77466277668,467606229.1342969
2024-09-25 00:00:00,18.935098907166093,25.154698372566784,23.851212699022685,0.0002996446527370043,1609774733411772.8,14845.622786123306,253280.78198553028,450879563.59471697
2024-09-26 00:00:00,27.25633552252951,30.188869033125428,16.984234499471007,0.0005427746819847632,1545202376868684.5,8807.207616665817,454444.07165072206,459148858.8775005
2024-09-27 00:00:00,22.907824022226215,31.05151249209652,24.21284384020853,0.00048714324751631083,507291504485727.1,13096.33567421998,773002.3688232556,456221006.2924286
2024-09-28 00:00:00,25.481291704133703,48.98392252341408,17.580655506603506,0.0004701897017956673,177999994920550.22,4806.390768871332,1478578.40268371,428490918.90830874
2024-09-29 00:00:00,16.625953947180562,35.08266285756318,25.51189251805514,0.00045400087250330526,769612794959624.6,4440.609694288711,2794254.6578021925,456402543.9357509
2024-09-30 00:00:00,21.98518812484986,33.36648857321486,15.289864676852186,0.00024216054259163194,300121296149282.5,3549.8420388855625,4677799.372819321,418284518.56900376
2024-10-01 00:00:00,17.272875642675064,40.0742011039348,28.755541857546824,0.00037377634345037267,246408351548797.1,4636.389039632185,7877901.88801436,459766217.30699164
2024-10-02 00:00:00,38.55020754895649,35.60409912017169,15.874232561843408,0.0003466384482348831,585134957356045.2,3537.9438042480842,10707228.257692834,566555523.1391835
2024-10-03 00:00:00,22.258133495935432,35.687704937621085,9.836153237486963,0.0005230734835657643,753801527745691.0,8936.825226179628,17255992.170436013,546113891.3225017
