date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-extra_finance_leverage_farming_protocol,forecasted_TVL_opchain-extra_finance_leverage_farming_protocol
2024-09-01 00:00:00,0.005296367833222924,-0.05762761876799696,0.08996638554224062,-2.620808309595751e-06,0.0,69918821.10412076,119045312.5075903,109207980.89671071
2024-09-02 00:00:00,0.005896972395072346,-0.040718031243008095,0.07263763851049641,-7.975750896267334e-06,0.0,72796996.79039732,118028029.27431642,108675067.9272092
2024-09-03 00:00:00,0.005683007889955093,-0.050831786015953964,0.07074609247797668,-1.1051418730020341e-05,0.0,62728154.39789877,115885309.66281417,107790274.90997113
2024-09-04 00:00:00,0.0035466186317360043,-0.037851462800167004,-0.03587859445093067,-3.8164514584109115e-06,0.0,57352954.60978027,117559600.599363,103655655.30742618
2024-09-05 00:00:00,-0.0468748007443851,-0.049290618073309964,-0.06268404621657636,-8.374024724723176e-06,0.0,115250466.18780266,123187995.77914205,105160475.95343076
2024-09-06 00:00:00,0.39946492212038115,-0.06534655016058055,-0.05756390239080147,-8.565071976643692e-06,0.0,98478873.53418268,114110897.0749749,103521651.76069313
2024-09-07 00:00:00,-0.0627236251947507,-0.028078688382866663,-0.10890392476269338,-3.817178218648358e-09,0.0,69813165.27969794,119373640.7138757,103545061.0253482
2024-09-08 00:00:00,-0.07642455156919667,-0.017322646844278283,0.04956997018784181,-6.818503001663657e-09,0.0,70373268.94990748,103206611.72025262,96935321.22971566
2024-09-09 00:00:00,-0.02039732440358926,-0.05640053613166329,-0.1368993821195947,-6.9991388879274155e-09,0.0,64074614.673480235,124007432.26741464,106741736.78534652
2024-09-10 00:00:00,0.05716718507996229,0.005869643664192402,0.12217216256472431,1.1295991340013023e-09,0.0,58686098.11427532,115630569.87431943,114288054.2532562
2024-09-11 00:00:00,0.09118191714639375,0.009591285970549224,0.13610185553002987,1.251974826318862e-09,0.0,68584342.55421726,123686215.8816816,102499661.95950189
2024-09-12 00:00:00,0.08394867298348345,0.00979684320242961,0.09027829548608707,9.73784647138081e-10,0.0,56871771.54653087,119785914.58443817,104387768.7481155
2024-09-13 00:00:00,0.12436767393618568,0.04495758234660755,0.007373199468812313,5.07800676450709e-06,0.0,62342054.57171473,116573728.8021943,98521874.0723049
2024-09-14 00:00:00,0.13573281298481235,0.02701937909105855,0.03834701704837194,1.0172772988893953e-05,0.0,91682080.76466863,119089095.96769722,100834388.94361204
2024-09-15 00:00:00,0.11221128209214223,0.02413188258436602,0.009053403101966895,6.563840522434381e-06,0.0,81153601.83705372,119338870.63393079,121129841.04458638
2024-09-16 00:00:00,0.5625356315268671,-0.03310583473000154,0.06913855203659668,3.992940643424409e-06,0.0,49476699.21181958,116342908.08431487,112080560.12513827
2024-09-17 00:00:00,0.4774307689293461,-0.007052747168071518,0.11309391090597772,6.509230425253189e-07,0.0,65915237.278471,116685144.89455608,105032337.39353156
2024-09-18 00:00:00,0.466644658292907,-0.042950350062544614,0.1657966525585776,-1.8896540035515447e-06,0.0,51923004.04160487,116287240.13339612,112688466.15103821
